# Data source: 'C:\Sciebo_files\eegFloss_v1.0\0.eegFloss_v1.0_beta\sample_data\Zmax\sub01'.
# EEG signals' sampling rate: 256 Hz and (checked) duration: 484.5 minutes.
# EEG data usability was assessed by eegFloss v1.0 (GitHub.com/Niloy333/eegFloss)
# using eegUsability model: 'default (v1.0)' in 10-second epochs at 2025-07-06 15:51:50.
# Sleep scores were imported from 'DreamentoScorer.txt'; scoring was performed in 30-second epochs.
# This file contains aggregated sleep and usability scores based on the majority rule.
# Class labels: -1 = Unusable Data; 0-4 = W; N1; N2; N3; REM; 9 = placeholder; (or check 'DreamentoScorer.txt').
# <<<e>>><<<n>>><<<d>>><<<o>>><<<f>>><<<h>>><<<e>>><<<a>>><<<d>>><<<e>>><<<r>>>
Sleep_scores,Start_time_sec,End_time_sec
0,15510.00390625,15540.0
-1,15540.00390625,15570.0
-1,15570.00390625,15600.0
-1,15600.00390625,15630.0
-1,15630.00390625,15660.0
0,15660.00390625,15690.0
0,15690.00390625,15720.0
-1,15720.00390625,15750.0
-1,15750.00390625,15780.0
-1,15780.00390625,15810.0
-1,15810.00390625,15840.0
-1,15840.00390625,15870.0
-1,15870.00390625,15900.0
-1,15900.00390625,15930.0
-1,15930.00390625,15960.0
-1,15960.00390625,15990.0
-1,15990.00390625,16020.0
0,16020.00390625,16050.0
0,16050.00390625,16080.0
0,16080.00390625,16110.0
0,16110.00390625,16140.0
0,16140.00390625,16170.0
0,16170.00390625,16200.0
0,16200.00390625,16230.0
0,16230.00390625,16260.0
0,16260.00390625,16290.0
0,16290.00390625,16320.0
0,16320.00390625,16350.0
0,16350.00390625,16380.0
0,16380.00390625,16410.0
0,16410.00390625,16440.0
0,16440.00390625,16470.0
0,16470.00390625,16500.0
0,16500.00390625,16530.0
0,16530.00390625,16560.0
0,16560.00390625,16590.0
0,16590.00390625,16620.0
0,16620.00390625,16650.0
0,16650.00390625,16680.0
0,16680.00390625,16710.0
0,16710.00390625,16740.0
0,16740.00390625,16770.0
0,16770.00390625,16800.0
0,16800.00390625,16830.0
0,16830.00390625,16860.0
-1,16860.00390625,16890.0
-1,16890.00390625,16920.0
-1,16920.00390625,16950.0
-1,16950.00390625,16980.0
-1,16980.00390625,17010.0
-1,17010.00390625,17040.0
-1,17040.00390625,17070.0
-1,17070.00390625,17100.0
-1,17100.00390625,17130.0
-1,17130.00390625,17160.0
0,17160.00390625,17190.0
-1,17190.00390625,17220.0
-1,17220.00390625,17250.0
-1,17250.00390625,17280.0
-1,17280.00390625,17310.0
-1,17310.00390625,17340.0
-1,17340.00390625,17370.0
-1,17370.00390625,17400.0
-1,17400.00390625,17430.0
-1,17430.00390625,17460.0
0,17460.00390625,17490.0
0,17490.00390625,17520.0
0,17520.00390625,17550.0
-1,17550.00390625,17580.0
-1,17580.00390625,17610.0
-1,17610.00390625,17640.0
-1,17640.00390625,17670.0
-1,17670.00390625,17700.0
-1,17700.00390625,17730.0
-1,17730.00390625,17760.0
-1,17760.00390625,17790.0
0,17790.00390625,17820.0
0,17820.00390625,17850.0
0,17850.00390625,17880.0
0,17880.00390625,17910.0
0,17910.00390625,17940.0
0,17940.00390625,17970.0
0,17970.00390625,18000.0
0,18000.00390625,18030.0
0,18030.00390625,18060.0
0,18060.00390625,18090.0
0,18090.00390625,18120.0
0,18120.00390625,18150.0
-1,18150.00390625,18180.0
-1,18180.00390625,18210.0
-1,18210.00390625,18240.0
-1,18240.00390625,18270.0
-1,18270.00390625,18300.0
-1,18300.00390625,18330.0
-1,18330.00390625,18360.0
-1,18360.00390625,18390.0
-1,18390.00390625,18420.0
-1,18420.00390625,18450.0
-1,18450.00390625,18480.0
-1,18480.00390625,18510.0
0,18510.00390625,18540.0
0,18540.00390625,18570.0
0,18570.00390625,18600.0
0,18600.00390625,18630.0
0,18630.00390625,18660.0
0,18660.00390625,18690.0
